datetime,volume_XOM,vw_XOM,open_XOM,close_XOM,high_XOM,low_XOM,trades_XOM,close_XOM_lag1,close_XOM_lag2,close_XOM_lag3,close_XOM_lag4,close_XOM_lag5,MA50_XOM,EMA20_XOM,RSI_XOM,upper_bb_XOM,middle_bb_XOM,lower_bb_XOM,ATR_XOM,MACD_XOM,MACD_signal_XOM,ADX_XOM,StochK_XOM,StochD_XOM,CCI_XOM,WilliamsR_XOM,target
2022-11-10 05:00:00,5607668.0,149.4765,150.66,149.72,150.66,147.75,73998,,,,,,,149.72,,,,,,,,,,,,,150.16
2022-11-11 05:00:00,6786445.0,148.5966,149.54,150.16,150.52,145.745,91560,149.72,,,,,,149.76190476190476,,,,,,,,,,,,,151.74
2022-11-14 05:00:00,7077092.0,152.7547,150.98,151.74,154.535,150.98,79449,150.16,149.72,,,,,149.9502947845805,,,,,,,,,,,,,153.04
2022-11-15 05:00:00,5909485.0,152.4065,153.39,153.04,153.42,149.9614,76755,151.74,150.16,149.72,,,,150.24455242414427,,,,,,,,,,,,,151.87
2022-11-16 05:00:00,7358083.0,153.5263,153.44,151.87,156.69,151.23,94796,153.04,151.74,150.16,149.72,,,150.39935695517815,,,,,,,,,,,,,152.16
2022-11-17 05:00:00,5069501.0,151.8529,150.97,152.16,153.074,149.97,72655,151.87,153.04,151.74,150.16,149.72,,150.56703724516117,,,,,,,,,,,,,154.98
2022-11-18 05:00:00,5691126.0,154.8266,153.67,154.98,155.64,153.67,73320,152.16,151.87,153.04,151.74,150.16,,150.98731941228868,,,,,,,,,,,,,157.11
2022-11-21 05:00:00,6492325.0,156.9786,155.395,157.11,158.6286,154.43,94085,154.98,152.16,151.87,153.04,151.74,,151.57043184921355,,,,,,,,,,,,,159.79
2022-11-22 05:00:00,5351192.0,159.0639,157.69,159.79,159.88,157.5601,75803,157.11,154.98,152.16,151.87,153.04,,152.35324786357415,,,,,,,,,,,,,159.39
2022-11-23 05:00:00,3221178.0,159.4582,159.95,159.39,160.94,158.82,44383,159.79,157.11,154.98,152.16,151.87,,153.02341473370996,,,,,,,,,,,,,159.62
2022-11-25 05:00:00,1661909.0,159.907,159.59,159.62,160.75,159.2411,29501,159.39,159.79,157.11,154.98,152.16,,153.6516609495471,,,,,,,,,,,,,158.43
2022-11-28 05:00:00,3902961.0,158.9089,160.0,158.43,160.73,157.83,54357,159.62,159.39,159.79,157.11,154.98,,154.10674085911407,,,,,,,,,,,,,158.2
2022-11-29 05:00:00,3688967.0,158.05,158.31,158.2,159.4299,157.21,58047,158.43,159.62,159.39,159.79,157.11,,154.49657506300795,,,,,,,,,,,,,161.18
2022-11-30 05:00:00,12342536.0,160.3832,158.79,161.18,161.18,156.46,103888,158.2,158.43,159.62,159.39,159.79,,155.13309172367389,,,,,,,,,,,,-0.0,161.63
2022-12-01 05:00:00,5827897.0,161.4797,161.0,161.63,163.2,159.98,81862,161.18,158.2,158.43,159.62,159.39,,155.75184489284783,83.28675237562881,,,,3.450714285714284,,,,,,,-8.994557433400141,163.66
2022-12-02 05:00:00,4305089.0,162.6845,160.72,163.66,163.76,160.5125,61733,161.63,161.18,158.2,158.43,159.62,,156.50500252210043,85.10670906931296,,,,3.4361989795918353,,,,,,,-0.7247112025857286,163.94
2022-12-05 05:00:00,4859547.0,164.0098,162.89,163.94,165.19,162.89,74753,163.66,161.63,161.18,158.2,158.43,,157.21309751999564,85.34377492567613,,,,3.3550419096209905,,,,,,,-8.208239759400076,163.72
2022-12-06 05:00:00,5480495.0,163.247,164.03,163.72,164.385,161.55,77346,163.94,163.66,161.63,161.18,158.2,,157.83280251809128,84.20957621262389,,,,3.3178960589337754,,,,93.8029015847257,94.86243641364501,,-9.65834428383705,165.4
2022-12-07 05:00:00,4637777.0,164.7791,163.69,165.4,165.53,163.26,69772,163.72,163.94,163.66,161.63,161.18,,158.5534879925588,85.76531424840364,,,,3.2430463404385064,,,,93.7659801261189,93.86434852634976,,-0.8354755784061404,165.99
